1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
TBD,TBD,TBD,L2-SR-RQ-3096,Broadband ground motion,DCN 1341-00090,1,Broadband Ground Velocity,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00090,TBD,TBD,TBD,TBD,m/s,GRNDVEL,DCN 1342-00090,DCN 1341-00090,GRNDVEL_L1,"[""OBSBB""]",L1,Broadband Ground Velocity,Seafloor/Crust,m/s
not applicable,not applicable,not applicable,Derived from design to achieve PCO2AIR,none,[DCN 1341-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/295440da-24e6-4279-90f5-03055a5b5a31/1341-00260_Data_Product_SPEC_PCO2SSW_PCO2ATM_OOI.pdf],0,CO2 Mole Fraction in Atmosphere,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,ppm,XCO2ATM,DCN 1342-00260,DCN 1341-00260,XCO2ATM_L0,"[""PCO2A""]",L0,CO2 Mole Fraction in Atmosphere,Air-Sea Interface,ppm
not applicable,not applicable,not applicable,Derived from design to achieve PCO2AIR,none,[DCN 1341-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/295440da-24e6-4279-90f5-03055a5b5a31/1341-00260_Data_Product_SPEC_PCO2SSW_PCO2ATM_OOI.pdf],0,CO2 Mole Fraction in Surface Sea Water,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,not applicable,not applicable,not applicable,ppm,XCO2SSW,DCN 1342-00260,DCN 1341-00260,XCO2SSW_L0,"[""PCO2A""]",L0,CO2 Mole Fraction in Surface Sea Water,Air-Sea Interface,ppm
not applicable,not applicable,not applicable,L2-SR-RQ-3045,Conductivity,[DCN 1341-00030|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/d8318ad7-b189-4ff1-acd9-6acdd295f4f5/1341-00030_Data_Product_SPEC_CONDWAT_OOI.pdf],0,Conductivity,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,CONDWAT,DCN 1342-00010,DCN 1341-00030,CONDWAT_L1,"[""CTDAV"", ""CTDBP"", ""CTDGV"", ""CTDMO"", ""CTDPF""]",L1,Conductivity,Water Column,S/m
not applicable,not applicable,not applicable,L2-SR-RQ-3045,Conductivity,[DCN 1341-00030|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/d8318ad7-b189-4ff1-acd9-6acdd295f4f5/1341-00030_Data_Product_SPEC_CONDWAT_OOI.pdf],0,Conductivity,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,CONDWAT,DCN 1342-00010,DCN 1341-00030,CONDWAT_L0,"[""CTDAV"", ""CTDBP"", ""CTDGV"", ""CTDMO"", ""CTDPF""]",L0,Conductivity,Water Column,unitless
not applicable,not applicable,not applicable,L2-SR-RQ-3065,Density,[DCN 1341-00050|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/bafd6f75-4a29-457a-a243-a2b77d2ee1ec/1341-00050_Data_Product_SPEC_DENSITY_OOI.pdf],2,Density,not applicable,applicable,applicable,applicable,not applicable,,[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf],not applicable,applicable,applicable,not applicable,kg/m^3,DENSITY,DCN 1342-00010,DCN 1341-00050,DENSITY_L2,"[""CTDAV"", ""CTDBP"", ""CTDGV"", ""CTDMO"", ""CTDPF""]",L2,Density,Water Column,kg/m^3
TBD,TBD,TBD,L2-SR-RQ-3924,Diffuse Attenuation,DCN 1341-00740,2,Diffuse Attenuation Coefficient,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00730,TBD,TBD,TBD,TBD,1/m,OPTATTS,DCN 1342-00730,DCN 1341-00740,OPTATTS_L2,"[""SPKIR""]",L2,Diffuse Attenuation Coefficient,Water Column,1/m
TBD,TBD,TBD,L2-SR-RQ-3062,Platform Motion,DCN 1341-00330,2,Direct Covariance Flux of Heat,TBD,TBD,TBD,TBD,TBD,,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",TBD,TBD,TBD,TBD,J m^(-2) s^(-1),FLUXHOT,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",DCN 1341-00330,FLUXHOT_L2,"[""FDCHP"", ""FDCLP""]",L2,Direct Covariance Flux of Heat,Air-Sea Interface,J m^(-2) s^(-1)
TBD,TBD,TBD,L2-SR-RQ-3033,Direct Covariance Fluxes ,DCN 1341-00340,2,Direct Covariance Flux of Moisture,TBD,TBD,TBD,TBD,TBD,,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",TBD,TBD,TBD,TBD,kg m^(-1) s^(-1),FLUXWET,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",DCN 1341-00340,FLUXWET_L2,"[""FDCHP"", ""FDCLP""]",L2,Direct Covariance Flux of Moisture,Air-Sea Interface,kg m^(-1) s^(-1)
TBD,TBD,TBD,L2-SR-RQ-3033,Direct Covariance Fluxes ,DCN 1341-00320,2,Direct Covariance Flux of Momentum,TBD,TBD,TBD,TBD,TBD,,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",TBD,TBD,TBD,TBD,kg m^(-1) s^(-2),FLUXMOM,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",DCN 1341-00320,FLUXMOM_L2,"[""FDCHP"", ""FDCLP""]",L2,Direct Covariance Flux of Momentum,Air-Sea Interface,kg m^(-1) s^(-2)
