Scenario,ID,owner_id,org_ids,sm/name,sm/description,sm/manufacturer,sm/manufacturer_url,sm/reference_urls,sm/weight,sm/voltage,sm/wattage,sm/height,sm/length,sm/width
STOP!,"Changes to this doc can break the nose tests or interfere with test systems!  BEFORE making changes, please read https://confluence.oceanobservatories.org/display/CIDev/Preload+development.  AFTER making changes, please TEST, make a copy of this sheet, and commit the new URL to ion_loader.py!",,,,,,,,,,,,,
BETA,SM1,USER_1,MF_3,SBE37 C,Conductivity measurement from SBE37,"Sea-bird Electronics, Inc.",http://www.seabird.com,"http://www.seabird.com/pdf_documents/manuals/37SMP_RS232_016.pdf, http://www.seabird.com/products/spec_sheets/37smpdata.htm",,,,,,
BETA,SM2,USER_1,MF_3,SBE37 T,Temperature measurement from SBE37,"Sea-bird Electronics, Inc.",http://www.seabird.com,"http://www.seabird.com/pdf_documents/manuals/37SMP_RS232_016.pdf, http://www.seabird.com/products/spec_sheets/37smpdata.htm",,,,,,
BETA,SM3,USER_1,MF_3,SBE37 D,Density measurement from SBE37,"Sea-bird Electronics, Inc.",http://www.seabird.com,"http://www.seabird.com/pdf_documents/manuals/37SMP_RS232_016.pdf, http://www.seabird.com/products/spec_sheets/37smpdata.htm",,,,,,
